,age,hiv_infected_infants,syphilis_infected_infants,coinfected_infants,lbw_infants,healthy_infants,syph_dead,hiv_dead,bg_dead,discounted test costs,discounted treatment costs
1,0,13386.43218,14627.42105,253.6501384,587.9078445,1595518.705,3489.562003,0,0,0,0
2,1,10684.10622,14093.52018,202.4456543,566.4492082,1537282.272,3489.562003,2753.530445,58791.79224,0,2368421.247
3,2,10280.40102,14042.151,194.7961268,564.3845692,1531679.064,3489.562003,3166.819965,64448.43445,0,2107832.025
4,3,9891.950053,13990.96906,187.4356413,562.3274555,1526096.279,3489.562003,3564.855248,70084.45889,0,1969112.97
5,4,9518.176935,13939.97366,180.353276,560.2778398,1520533.842,3489.562003,3948.212684,75699.94069,0,1839523.19
6,5,9158.527054,13889.16414,173.538522,558.2356947,1514991.679,3489.562003,4317.446884,81294.95474,0,1718461.874
7,6,9145.669063,13869.66463,173.2948849,557.4519672,1512864.727,3489.562003,4330.660984,83442.19016,0,1666067.245
8,7,9132.829124,13850.19251,173.0515899,556.66934,1510740.761,3489.562003,4343.857031,85586.41099,0,1615270.09
9,8,9120.007211,13830.74771,172.8086364,555.8878116,1508619.777,3489.562003,4357.035053,87727.62148,0,1566021.702
10,9,9107.2033,13811.33022,172.5660241,555.1073804,1506501.77,3489.562003,4370.195073,89865.82584,0,1518274.861
11,10,9094.417365,13791.93999,172.3237523,554.3280448,1504386.738,3489.562003,4383.337117,92001.0283,0,1471983.786
12,11,9084.391424,13776.73537,172.1337778,553.716938,1502728.26,3489.562003,4393.642689,93675.32211,0,1427534.98
13,12,9074.376536,13761.54751,171.9440127,553.106505,1501071.61,3489.562003,4403.937207,95347.77014,0,1384428.375
14,13,9064.372689,13746.37639,171.7544568,552.4967449,1499416.786,3489.562003,4414.220685,97018.37441,0,1342623.439
15,14,9054.379871,13731.222,171.5651099,551.887657,1497763.787,3489.562003,4424.493135,98687.13697,0,1302080.867
16,15,9044.398069,13716.08432,171.3759717,551.2792406,1496112.611,3489.562003,4434.754568,100354.0598,0,1262762.54
17,16,9027.148037,13689.92416,171.0491129,550.2278069,1493259.133,3489.562003,4452.488376,103234.7493,0,1223644.779
18,17,9009.930906,13663.8139,170.7228775,549.1783787,1490411.097,3489.562003,4470.189285,106109.9445,0,1185738.804
19,18,8992.746612,13637.75343,170.3972644,548.1309519,1487568.494,3489.562003,4487.857356,108979.656,0,1149007.078
20,19,8975.595094,13611.74267,170.0722722,547.0855229,1484731.311,3489.562003,4505.492651,111843.8942,0,1113413.224
21,20,8958.476287,13585.78152,169.7478999,546.0420878,1481899.541,3489.562003,4523.095235,114702.6696,0,1078921.994
