,age,hiv_infected_infants,syphilis_infected_infants,coinfected_infants,lbw_infants,healthy_infants,syph_dead,hiv_dead,bg_dead,discounted test costs,discounted treatment costs,discounted_ylls,discounted_ylds,discounted_dalys
1,0,10870.83871,12241.27087,171.9235222,495.866688,1601121.327,3003.563096,0,0,0,0,(total dead) / (1+disc_rate)^(age),"Sum of YLDs from each infected group (not including healthy infants) - sum these up and then apply a discounting as with YLLs

## HIV infected infants
(hiv_infected_infants) * (inf_ART_coverage*avg_ART_adherence*dw_HIVtx) + 
  (hiv_infected_infants) * (1-inf_ART_coverage*avg_ART_adherence) * (dw_HIVnotx*propLE_HIV_notx+dwAIDSnotx*(1-propLE_HIV_notx) +

## syphilis infected infants - only for those under 4 years old
ifelse(age < 4, syphilis_infected_infants * dw_syp, 0)

## coinfected infants
coinfected_infants * (inf_ART_coverage*avg_ART_adherence*ifelse(age<4, dw_syp+HIVtx, dw_HIVtx) +
  (1-inf_ART_coverage*avg_ART_adherence) * ifelse(age<4, dw_syp+HIVnotx, dw_HIVnotx)*propLE_HIV_notx) +
  ifelse(age<4, dw_syp+AIDSnotx, dw_AIDSnotx)*(1-propLE_HIV_notx) +

## Low birthweight infants - only for those 1 and younger
ifelse(age <2, lbw_infants*dw_lbw, 0)
",discounted_ylls + discounted_dalys
2,1,8676.336896,11794.46449,137.2172322,477.7675539,1542680.398,3003.563096,2229.2081,58905.83394,0,1950760.487,,,
3,2,8348.496433,11751.47509,132.0323989,476.0261488,1537057.514,3003.563096,2563.544794,64573.44866,0,1706462.419,,,
4,3,8033.043613,11708.64238,127.0434775,474.2910909,1531455.125,3003.563096,2885.493845,70220.4056,0,1594157.999,,,
5,4,7729.510362,11665.96579,122.2430654,472.5623571,1525873.156,3003.563096,3195.523326,75846.78007,0,1489244.473,,,
6,5,7437.446293,11623.44475,117.6240397,470.8399244,1520311.532,3003.563096,3494.083626,81452.64708,0,1391235.436,,,
7,6,7427.004591,11607.12617,117.458903,470.178895,1518177.112,3003.563096,3504.766698,83604.04761,0,1348817.699,,,
8,7,7416.577548,11590.8305,117.2939981,469.5187936,1516045.687,3003.563096,3515.435111,85752.42771,0,1307693.247,,,
9,8,7406.165143,11574.55771,117.1293248,468.8596191,1513917.255,3003.563096,3526.088885,87897.79162,0,1267822.649,,,
10,9,7395.767357,11558.30777,116.9648827,468.2013699,1511791.811,3003.563096,3536.728041,90040.14357,0,1229167.676,,,
11,10,7385.384169,11542.08064,116.8006714,467.5440449,1509669.352,3003.563096,3547.352599,92179.4878,0,1191691.265,,,
12,11,7377.242315,11529.35633,116.6719071,467.0286112,1508005.05,3003.563096,3555.683986,93857.02934,0,1155706.322,,,
13,12,7369.109436,11516.64604,116.5432847,466.5137458,1506342.583,3003.563096,3564.006398,95532.72151,0,1120807.999,,,
14,13,7360.985524,11503.94977,116.4148041,465.999448,1504681.949,3003.563096,3572.319844,97206.56634,0,1086963.484,,,
15,14,7352.870567,11491.26749,116.2864652,465.4857171,1503023.145,3003.563096,3580.624334,98878.56589,0,1054140.956,,,
16,15,7344.764556,11478.59919,116.1582677,464.9725526,1501366.17,3003.563096,3588.919878,100548.7222,0,1022309.555,,,
17,16,7330.75617,11456.70651,115.9367235,464.0857284,1498502.672,3003.563096,3603.256167,103434.9995,0,990640.5276,,,
18,17,7316.774502,11434.85557,115.7156019,463.2005956,1495644.636,3003.563096,3617.565739,106315.7719,0,959952.5409,,,
19,18,7302.8195,11413.04631,115.494902,462.317151,1492792.051,3003.563096,3631.848644,109191.0499,0,930215.2043,,,
20,19,7288.891114,11391.27865,115.274623,461.4353913,1489944.906,3003.563096,3646.104933,112060.844,0,901399.0687,,,
21,20,7274.989293,11369.5525,115.0547642,460.5553134,1487103.192,3003.563096,3660.334657,114925.1647,0,873475.5971,,,
