age,hiv_infected_infants,syphilis_infected_infants,coinfected_infants,lbw_infants,healthy_infants,syph_dead,hiv_dead,bg_dead,hiv_dw_weighted,hivsyp_coinf_dw_weighted,discounted_ylls,discounted_ylds,discounted_dalys,discounted_costs,test
0,20793.719892722936,19491.52216452592,528.4468270806533,774.7528699339174,1581652.963248738,4483.633895322193,0,0,NA,NA,NA,NA,NA,NA,no test
1,16596.08094505447,18780.081605520725,421.7689938420765,746.4743901813295,1523922.6300901591,4483.633895322193,4304.316780907045,58470.052197336685,0.18858768000000004,0.44418256079999996,65299.03191608341,9055.761421426574,74354.79333750998,3630606.8988770638,no test
2,15968.988321567662,18711.630474083187,405.8322057696711,743.7535810991135,1518368.1159807916,4483.633895322193,4951.377076777738,64095.73824722402,0.18858768000000004,0.44418256079999996,69309.78340967475,8578.397871911937,77888.18128158669,3294961.4826709908,no test
3,15365.590759567569,18643.42883876039,390.49759855402124,741.0426890377079,1512833.8474051422,4483.633895322193,5574.742311161715,69700.91935025778,0.18858768000000004,0.44418256079999996,72991.05408463567,8197.997590356992,81189.05167499266,3078115.957510907,no test
4,14784.99292729963,18575.475790169097,375.742418439314,738.3416778507685,1507319.750570683,4483.633895322193,6175.3078158135395,75285.6702444951,0.18858768000000004,0.18858768,76360.67456071785,2550.2538501782396,78910.92841089609,2875541.306844883,no test
5,14226.333323643197,18507.770422240672,361.5447714337056,735.6505115237001,1501825.7519538517,4483.633895322193,6753.9350918538585,80850.06539558191,0.18858768000000004,0.18858768,79435.60235172418,2382.418463227028,81818.02081495122,2686298.34662162,no test
6,14206.360454387286,18481.786686976473,361.0371855163981,734.6177048861466,1499717.2838963035,4483.633895322193,6774.649866922452,82985.54999503175,0.18858768000000004,0.18858768,78927.7270612305,2309.7802901755053,81237.507351406,2604395.1011667396,no test
7,14186.415625772435,18455.83943122779,360.53031221750973,733.5863482435757,1497611.7759941155,4483.633895322193,6795.336601349987,85118.0365096109,0.18858768000000004,0.18858768,78379.58811571455,2239.3568011795765,80618.94491689412,2524989.024957591,no test
8,14166.498798431363,18429.928603779696,360.0241505365694,732.5564395602863,1495509.2240914174,4483.633895322193,6815.995334503744,87247.5291484403,0.18858768000000004,0.18858768,77794.03683920128,2171.0804721639524,79965.11731136523,2448003.9811548186,no test
9,14146.609933052057,18404.05415348917,359.51869947451064,731.5279768034355,1493409.6240381736,4483.633895322193,6836.626105695734,89374.0321147315,0.18858768000000004,0.18858768,77173.79032900729,2104.885837812347,79278.67616681963,2373366.154274867,no test
10,14126.748990377697,18378.21602928499,359.01395803366967,730.5009579430343,1491312.9716901747,4483.633895322193,6857.228954182777,91497.54960579505,0.18858768000000004,0.18858768,76521.43692562831,2040.7094287974444,78562.14635442576,2301003.9794135573,no test
11,14111.17526650334,18357.955369034124,358.61817098788407,729.6956332206438,1489668.906488254,4483.633895322193,6873.385252644735,93162.68079268899,0.18858768000000004,0.18858768,75507.2550608482,1979.0870811153748,77486.34214196357,2231521.63899001,no test
12,14095.618711538511,18337.717044702757,358.22282026882647,728.8911963107898,1488026.6537498734,4483.633895322193,6889.524382197168,94825.97629231072,0.18858768000000004,0.18858768,74485.93628118483,1919.3255146304057,76405.26179581523,2164137.4242863343,no test
13,14080.07930655572,18317.501031667147,357.82790539547807,728.0876462347231,1486386.2114769225,4483.633895322193,6905.646361767561,96487.43812837332,0.18858768000000004,0.18858768,73458.79593864773,1861.3685402034694,75320.1644788512,2098787.9791819737,no test
14,14064.557032648348,18297.307305330698,357.4334258873503,727.2849820147733,1484747.5776734934,4483.633895322193,6921.751210262535,98147.06832235889,0.18858768000000004,0.18858768,72427.07763232851,1805.1616654126396,74232.23929774115,2035411.8606914973,no test
15,14049.051870930618,18277.135841123927,357.0393812644844,726.4832026743476,1483110.7503458785,4483.633895322193,6937.838946567868,99804.86889352095,0.18858768000000004,0.18858768,71391.9563081037,1750.652043318155,73142.60835142186,1973949.481194555,no test
16,14022.256656173828,18242.276564889402,356.3584138237272,725.0976092825872,1480282.070415822,4483.633895322193,6965.6420475755785,102669.79369320364,0.18858768000000004,0.18858768,71115.23133177636,1696.4204778632718,72811.65180963963,1912800.6247426842,no test
17,13995.512546896642,18207.483774407905,355.67874516590456,723.7146585796602,1477458.7855178933,4483.633895322193,6993.3940431036835,105529.25433231701,0.18858768000000004,0.18858768,70790.72504095489,1643.868893706164,72434.59393466105,1853546.03290143,no test
18,13968.81944562755,18172.757342873723,355.0003728138979,722.334345525268,1474640.885362355,4483.633895322193,7021.095030623694,108383.26123244375,0.18858768000000004,0.18858768,70421.55893699199,1592.9452485143413,72014.50418550633,1796127.0252861828,no test
19,13942.17725508095,18138.097143722996,354.32329429531325,720.9566650887252,1471828.3596790961,4483.633895322193,7048.745107421215,111231.82479528988,0.18858768000000004,0.18858768,70010.71001870978,1543.59911211872,71554.30913082851,1740486.7393088108,no test
20,13915.585878156779,18103.503050633255,353.6475071424719,719.5816122489415,1469021.198217593,4483.633895322193,7076.3443705963055,114074.95540272264,0.18858768000000004,0.18858768,69561.016651135,1495.7816165721463,71056.79826770714,1686570.0738661007,no test
0,13386.432178704606,14627.421050207868,253.6501383818279,587.9078445227516,1595518.7050272408,3489.5620033902605,0,0,NA,NA,NA,NA,NA,NA,HIV RDT
1,10684.106218099649,14093.520181875281,202.445654266137,566.4492081976712,1537282.2722937465,3489.5620033902605,2753.530444720648,58791.792238151924,0.18858768000000004,0.44418256079999996,63140.6647439445,6419.144884453517,69559.80962839801,2368421.247279738,HIV RDT
2,10280.40101684752,14042.15100134395,194.79612683447635,564.3845691818519,1531679.0639005282,3489.5620033902605,3166.819964779865,64448.43445091724,0.18858768000000004,0.44418256079999996,67023.10907633835,6085.100365436606,73108.20944177496,2107832.025040815,HIV RDT
3,9891.950052701526,13990.969055277423,187.43564127007554,562.3274555261249,1526096.2785258172,3489.5620033902605,3564.855247732947,70084.45888535047,0.18858768000000004,0.44418256079999996,70592.99910817036,5822.831354654667,76415.83046282503,1969112.9702588157,HIV RDT
4,9518.176935392312,13939.973661228667,180.35327595695563,560.2778398014606,1520533.8417301753,3489.5620033902605,3948.2126838492504,75699.94069076587,0.18858768000000004,0.18858768,73866.78330665876,1629.842195238621,75496.62550189739,1839523.1895038758,HIV RDT
5,9158.527053893906,13889.164139238088,173.53852195878414,558.2356946788049,1514991.679345487,3489.5620033902605,4317.446884154745,81294.95474256754,0.18858768000000004,0.18858768,76860.13653321337,1522.5802473787373,78382.7167805921,1718461.8738648337,HIV RDT
6,9145.66906306361,13869.664634122048,173.29488488582268,557.4519671862631,1512864.7271613234,3489.5620033902605,4330.660983683986,83442.19015933952,0.18858768000000004,0.18858768,76430.83423708088,1476.1579042005699,77906.99214128146,1666067.24508616,HIV RDT
7,9132.829124036536,13850.19250507385,173.0515898638517,556.6693399973896,1510740.761083061,3489.5620033902605,4343.857031410004,85586.41099383894,0.18858768000000004,0.18858768,75958.87078742546,1431.1509438568123,77390.02173128228,1615270.0897030882,HIV RDT
8,9120.007211469101,13830.747713659235,172.80863641265327,555.8878115674277,1508619.7769183966,3489.5620033902605,4357.035052676385,87727.62147834804,0.18858768000000004,0.18858768,75447.17067340504,1387.5162123739515,76834.686885779,1566021.7019358627,HIV RDT
9,9107.203300053297,13811.3302214979,172.56602405268376,555.1073803537896,1506501.7704809124,3489.5620033902605,4370.195072791134,89865.82583920717,0.18858768000000004,0.18858768,74898.52192438826,1345.2118715111396,76243.7337958994,1518274.8610078515,HIV RDT
10,9094.41736451665,13791.939990263423,172.3237523050727,554.3280448160533,1504386.7375900687,3489.5620033902605,4383.337117026727,92001.02829682319,0.18858768000000004,0.18858768,74315.5816480056,1304.1973586444813,75619.77900665007,1471983.785868901,HIV RDT
11,9084.39142401685,13776.735369211096,172.13377777255852,553.7169380489084,1502728.2595023338,3489.5620033902605,4393.642688545563,93675.32211237746,0.18858768000000004,0.18858768,73368.0405834616,1264.8151212978416,74632.85570475944,1427534.9802941487,HIV RDT
12,9074.376536394753,13761.547510159002,171.94401267329147,553.106504982985,1501071.6097673082,3489.5620033902605,4403.9372071866965,95347.77013952097,0.18858768000000004,0.18858768,72411.34912774213,1226.622090943646,73637.97121868578,1384428.3745017506,HIV RDT
13,9064.372689465357,13746.376394628243,171.7544567763865,552.4967448755758,1499416.7863693647,3489.5620033902605,4414.220685135129,97018.3744131026,0.18858768000000004,0.18858768,71446.88347332827,1189.5823576548269,72636.4658309831,1342623.4387129543,HIV RDT
14,9054.379871057092,13731.222004160292,171.565109851213,551.8876569847927,1497763.7872950982,3489.5620033902605,4424.493134562431,98687.13696572791,0.18858768000000004,0.18858768,70475.9462212344,1153.6610958595802,71629.60731709398,1302080.8670077708,HIV RDT
15,9044.398069011808,13716.084320316973,171.37597166739477,551.279240569565,1496112.610533323,3489.5620033902605,4434.754567626752,100354.05982776171,0.18858768000000004,0.18858768,69499.76953627488,1118.824531597598,70618.59406787247,1262762.5403686834,HIV RDT
16,9027.148037420244,13689.924161726798,171.04911288666216,550.2278069370516,1493259.132656817,3489.5620033902605,4452.488376343881,103234.74929649022,0.18858768000000004,0.18858768,69281.70596652049,1084.1656706038045,70365.87163712429,1223644.778719041,HIV RDT
17,9009.930906148595,13663.813897398095,170.72287751107498,549.1783786633513,1490411.0971086056,3489.5620033902605,4470.1892847410945,106109.94453730418,0.18858768000000004,0.18858768,69014.0419468991,1050.5804691620338,70064.62241606113,1185738.804105805,HIV RDT
18,8992.74661244735,13637.753432169466,170.39726435163666,548.1309519237207,1487568.4935087455,3489.5620033902605,4487.857355567904,108979.65602913257,0.18858768000000004,0.18858768,68699.95540553551,1018.035667528584,69717.9910730641,1149007.0778825986,HIV RDT
19,8975.5950936866775,13611.742671061005,170.07227222161833,547.0855229007109,1484731.311497091,3489.5620033902605,4505.492651454141,111843.89423091833,0.18858768000000004,0.18858768,68342.47801737895,986.4990362775566,69328.9770536565,1113413.2242723699,HIV RDT
20,8958.476287356198,13585.781519273964,169.74789993655455,546.0420877841542,1481899.5407332566,3489.5620033902605,4523.095234910186,114702.66958165646,0.18858768000000004,0.18858768,67944.50112726216,955.9393443837499,68900.44047164591,1078921.9943441127,HIV RDT
0,13409.582370360004,12221.096137244343,211.95762696413817,495.86668799992583,1598542.5488746867,3003.5630958277197,0,0,NA,NA,NA,NA,NA,NA,HIV-syph dual RDT
1,10702.583068638593,11775.026128234926,169.16963160831818,477.76755388792856,1540195.7458407606,3003.5630958277197,2749.787297077231,58810.97217704744,0.18858768000000004,0.44418256079999996,62683.80832034213,5688.815896655975,68372.6242169981,2368751.955191246,HIV-syph dual RDT
2,10298.179708784044,11732.107578778394,162.77745815177875,476.02614880169295,1534581.918188005,3003.5630958277197,3162.1995998141997,64469.45978434598,0.18858768000000004,0.44418256079999996,66580.47175038919,5387.858548864169,71968.33029925336,2104966.6394437975,HIV-syph dual RDT
3,9909.05696636669,11689.345462256057,156.6268167072797,474.2910909268778,1528988.5522596762,3003.5630958277197,3559.3312851139754,70107.32288707202,0.18858768000000004,0.44418256079999996,70164.10985361734,5148.741072071343,75312.85092568868,1966436.15926209,HIV-syph dual RDT
4,9534.637454320937,11646.739208488743,150.70858084650413,472.5623571286634,1523415.5734752575,3003.5630958277197,3941.7597400421496,75724.63665905617,0.18858768000000004,0.18858768,73451.1882629564,1626.8476137833914,75078.0358767398,1837022.5427777776,HIV-syph dual RDT
5,9174.365602489108,11604.288249375519,145.01396898856603,470.8399243565535,1517862.9075260696,3003.5630958277197,4310.040534756399,81321.47600012949,0.18858768000000004,0.18858768,76457.39829404345,1519.7827430643815,77977.18103710783,1716125.7978189732,HIV-syph dual RDT
6,9161.485375341617,11587.996565022286,144.81037857795224,470.1788949798548,1515731.924319734,3003.5630958277197,4323.218336962398,83469.41192019488,0.18858768000000004,0.18858768,76040.38249992998,1473.4456937191974,77513.82819364918,1663802.3942673954,HIV-syph dual RDT
7,9148.623231215728,11571.727753160098,144.60707399535613,469.51879364645544,1513603.932878599,3003.5630958277197,4336.378056146796,85614.33227452554,0.18858768000000004,0.18858768,75580.33066617626,1428.5214266626765,77008.85209283893,1613074.2925070387,HIV-syph dual RDT
8,9135.779144724027,11555.481781677428,144.4040548394933,468.85961905344146,1511478.9290024159,3003.5630958277197,4349.519717697006,87756.24129678441,0.18858768000000004,0.18858768,75080.17872203507,1384.9668672100186,76465.14558924509,1563892.8529687556,HIV-syph dual RDT
9,9122.953090514739,11539.258618507834,144.20132070964277,468.20136989972826,1509356.908496833,3003.5630958277197,4362.643346964803,89895.14321469064,0.18858768000000004,0.18858768,74542.72578781916,1342.7402539916336,75885.4660418108,1516210.9190678096,HIV-syph dual RDT
